Chapter,Author,Date,Text,Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,_wnadeena,Nov 18 2019,and that's on PERIOD,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ReignForeverInDespai,Nov 16 2019,Sooooo they're Roman?,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,blokebusters,Nov 13 2019,Alina is in the cover,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ninaalvarez37,Nov 02 2019,My favorite kind,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,aizrin_,Oct 31 2019,â¤,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Anonymouswolf22,Oct 30 2019,"I must say, I did enjoy The Mortal Instruments.",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,roxinawayne,Oct 27 2019,Whys everyone saying rip?,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,roxinawayne,Oct 27 2019,I liked that.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,xx_hyacinth_xx,Oct 20 2019,Sounds great~,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,waitthats_lyric,Oct 18 2019,And she deserved it ðŸ˜­ðŸ˜­,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,aloha568,Oct 12 2019,This comment may be offensive. holy fucking shit that's deep......but I love it,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,BlandWritter,Oct 11 2019,@stillmarie is my @ where i'll be posting it.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,BlandWritter,Oct 11 2019,"i'm currently working on a book, i'm still sorting things out and it's a political book similar to game of thrones and reign. I'm still working on the map of my world, and I'm hype for this book.",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,BlandWritter,Oct 11 2019,Rip Queen Margery.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,maheentwopointoh,Oct 05 2019,damn,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,maheentwopointoh,Oct 05 2019,Awesomeness choices,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,maheentwopointoh,Oct 05 2019,HELL YEAH,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,maheentwopointoh,Oct 05 2019,no.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,maheentwopointoh,Oct 05 2019,of course,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,maheentwopointoh,Oct 05 2019,good,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,sisowxth,Oct 01 2019,Kinda hot,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,sansa style,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,great inspiration sources!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,exactly my type,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,it sounds so sarcastic and sassy,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,i love this hahah,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,she deserved better tt,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,rlybad,Oct 01 2019,already intrigued,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ihopeimdeadtomorrow,Oct 01 2019,DUDE Iâ€™ll literally spend 3 hours straight on pinterest and end up with my phone yelling at me to delete something,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,breathingchemicals,Sep 29 2019,I love these aesthetics,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,madclarity,Sep 25 2019,tmi omg,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,BlackCresent1089,Sep 25 2019,@ Cersei,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,BlackCresent1089,Sep 25 2019,GAME OF THRONES!!!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,AphroditeTheDreamer,Sep 20 2019,I'm excited to read what's next,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,reallyFurry,Sep 15 2019,I'm ready for something great ðŸ˜,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Thanine,Sep 15 2019,Yess it makes the story so much better â¤ï¸â¤ï¸ðŸ’•,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,MerciMeyo,Sep 10 2019,ðŸ‘ðŸ‘ðŸ‘,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,MerciMeyo,Sep 10 2019,"Now, ain't that the truth",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,shifaxuddin,Aug 31 2019,YESSSS,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,shifaxuddin,Aug 31 2019,awww,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,shifaxuddin,Aug 31 2019,ayyyy,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,JasminRhymes,Aug 25 2019,Less incest I hope,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,JasminRhymes,Aug 25 2019,ðŸ˜‚,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,MilejdyVan,Aug 23 2019,Hello! ðŸ˜˜ I noticed your story is tagged #wattys2019 so I just stopped by to wish you luck in the Wattys this year ðŸ˜Š So good luck and have a nice morning/day/evening!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,HEROTYTY13,Aug 22 2019,LOVELY,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,HEROTYTY13,Aug 22 2019,Sound fun,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,HEROTYTY13,Aug 22 2019,Sounds fun,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,HEROTYTY13,Aug 22 2019,No book ever has made me cry. If u can make my soulless self cry you deserve a prize.        BUT YOU WON'T CUZ I DON'T CRY,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,HEROTYTY13,Aug 22 2019,Yeeeeeeet here we goooo,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,fizzyizzy--,Aug 20 2019,YOU KNOW HOW HARD IT IS TO FIND A SLOW BURN SHIP ON THIS DARN WEBSITE I LOVE U,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,fizzyizzy--,Aug 20 2019,oh i love,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,NoraClairer,Aug 15 2019,Me?,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,NoraClairer,Aug 15 2019,"I wasnâ€™t even sure if I wanted to read this book, but since the author is so sweet, I already LOVE IT",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,335ABCDm,Aug 13 2019,This is the most amazing book I have ever read it's so beautiful,2 Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,crazyappu,Aug 12 2019,All three are my favourites,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ReneeWar,Aug 11 2019,Aw you should totally invite us : D,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ReneeWar,Aug 11 2019,I feel so appreshAtEd,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,"This has been sitting in my library for some time and I finally got to it - this already is by far more wonderful than I could've imagined <3.  Also love the repetition of ""You end the world in..."". It just brings these descriptions of these people so much more depth and gives a much stronger voice to the text as a whole; it also answers that first question at the beginning of the epigraph in such a unique way. Like damn that was so powerful, reading the epigraph <3.",1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,"Ooh I love the ""stops hiding his bloodstained hands"" part aldjskdksk I'm so ready for this!",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,I am freaking loving this <3,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Wow.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Beautiful <3.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,You're amazing <3,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,YES QUEEN ðŸ‘‘,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,TMI AHHHH <3,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,<3,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,I'm ready!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,WHOOP,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,LETS GO,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,COOL.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Awwww â¤ï¸,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,â¤ï¸,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Oof me too.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Bet,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Always <3,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,Aww,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,unhingedbeauty,Aug 11 2019,<3,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,Can I join? >:^))),1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,Oooooo that's what I live for ðŸ’€,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,YES.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,A N D,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,Y E S,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,Y E S,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,Y E S,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,ShiroiHanaXR,Aug 10 2019,Oh yay thank you ðŸ˜‚,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,fresabella,Aug 08 2019,Oh my gosh im excited!,1 Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
