Chapter Name,Author,Date,Text,Replies
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",TMI AHHHH <3,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",<3,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",I'm ready!,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",WHOOP,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",LETS GO,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",COOL.,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Awwww ❤️,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",❤️,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Oof me too.,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Bet,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Always <3,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Aww,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",<3,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",Can I join? >:^))),1 Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",Oooooo that's what I live for 💀,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",YES.,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",A N D,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",Y E S,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",Y E S,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",Y E S,Reply
CROWN OF GLASS,ShiroiHanaXR,"Aug 10, 2019",Oh yay thank you 😂,Reply
CROWN OF GLASS,fresabella,"Aug 08, 2019",Oh my gosh im excited!,1 Reply
CROWN OF GLASS,fresabella,"Aug 08, 2019",Wow.. i dont even know you and im proud🙌🏼❤,1 Reply
CROWN OF GLASS,fresabella,"Aug 08, 2019",Same❤,Reply
CROWN OF GLASS,fresabella,"Aug 08, 2019",I know it will,Reply
CROWN OF GLASS,fresabella,"Aug 08, 2019",Your truly welcome❤,Reply
CROWN OF GLASS,fresabella,"Aug 08, 2019",❤❤,Reply
CROWN OF GLASS,steamednoodlesss,"Aug 03, 2019",😭😍,Reply
CROWN OF GLASS,luxiferase,"Jul 27, 2019",love margaery 🖤,1 Reply
CROWN OF GLASS,-,"Jul 27, 2019","WOW, congratulations! 👏🏼👏🏼",2 Replies
CROWN OF GLASS,-,"Jul 27, 2019",I'm ready! 🍿,Reply
CROWN OF GLASS,-,"Jul 27, 2019",💕💕💕💕💕,Reply
CROWN OF GLASS,-,"Jul 27, 2019",sweet 💞💞💞,Reply
CROWN OF GLASS,-,"Jul 27, 2019",poetic ✨,Reply
CROWN OF GLASS,-,"Jul 27, 2019",Damn 👑,Reply
CROWN OF GLASS,-,"Jul 27, 2019",wow!,Reply
CROWN OF GLASS,-,"Jul 27, 2019",👏🏼👏🏼,Reply
CROWN OF GLASS,-,"Jul 27, 2019",aww 💕,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",WOAH THIS IS AMAZING,1 Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",You are a queen,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Oh my gawd yes,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",I’M READY,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Whoooo!,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",❤️,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Aww so sweet!,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",I’M SO READY,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",I’m bringing popcorn,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Anytime!,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Aww. Your writing always takes my breath away! You have an amazing talent. I love your books!,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019","I’ve been waiting to read this for ages and now that I’ve finished your two books, I’m so excited!!",1 Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Woah I love this,Reply
CROWN OF GLASS,moonandstarsishy,"Jul 24, 2019",Positively gorgeous!,Reply
CROWN OF GLASS,theresistance-,"Jul 20, 2019",💗💗,3 Replies
CROWN OF GLASS,xsolidangelx,"Jul 18, 2019",This sounds so promising slr3dy!,1 Reply
CROWN OF GLASS,moriarteax,"Jul 11, 2019",ok but someone tell me why is alina starkov there on the cover,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",your writing is beautiful af,1 Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019","damn, this is impressive",Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",already love you 💕😂,1 Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",yes!  everything about this warning has me so excited <3,1 Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",let's go,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",i'm getting chills,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",love this too,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",love this,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",💕💕,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",that's so sweet!,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",poetic,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",ok but me,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",i think i'm ready 😶,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",aww 💕,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",i'm so hyped for this!,Reply
CROWN OF GLASS,auroreate,"Jul 08, 2019",stunning <3,Reply
CROWN OF GLASS,faeriebisou,"Jul 08, 2019",she's alreads my fave,1 Reply
CROWN OF GLASS,BlueCeline,"Jul 04, 2019",This gives me Percy Jackson vibes 😂,1 Reply
CROWN OF GLASS,GoofyAlways4Life,"Jul 03, 2019",Period!!! We love a strong queen,1 Reply
CROWN OF GLASS,GoofyAlways4Life,"Jul 03, 2019","This is true, no cap",Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",THIS IS SO TRUE,Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",I LOVE THIS,Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",OH MY GOD,Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",My favourite thing,Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",I will come back as a ghost and pee on them,2 Replies
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",This comment may be offensive. FUCKING HELL YEAH,Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",This comment may be offensive. FUCK YEAH,Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",Awww Bless you and your mom ❤,1 Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",Bless my black soul you mean :D ?,2 Replies
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019","""If you are survivor yourself never trust another. You know what terrible things both of you are capable off."" - Me 😄",Reply
CROWN OF GLASS,Agatha-TheNobody,"Jun 25, 2019",RIP MY QUEEN 💔,Reply
CROWN OF GLASS,ValkyrieOnline0,"Jun 24, 2019",I can already tell this is going to be epic,1 Reply
CROWN OF GLASS,ZeaSammantha913,"Jun 21, 2019",NARNIAAAAAAAAA,1 Reply
CROWN OF GLASS,BookGirl_xoxo,"Jun 20, 2019",Everything here is done so beautifully and it just looks amazing! 💜,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",your word weaving I effortless and smooth this isn't even the story yet i dont think im ready 😫,1 Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",yes please i want this,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",I can't I'm actually getting butterflies,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",I can already tell I'll be salivating over your writing,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",prepared for the torture oh goodness here we go 😂,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",let them🔥,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",prepared,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",im in love already,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",this as well... and im trying to stop drinking coffee oops 😬,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",it's sad how much i relate to this,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",oh lord am i ready? challenge accepted,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",big difference 👐,Reply
CROWN OF GLASS,seatrails,"Jun 14, 2019",love this,Reply
CROWN OF GLASS,I-MADE-YOU-READ-THIS,"Jun 11, 2019","I just finished analyzing Harrison Bergeron for my English final and every time I see his name I see 'Kurt Vonnegurt,",Reply
CROWN OF GLASS,lucitor,"Jun 10, 2019",Why do i alrdy love your writing style,1 Reply
CROWN OF GLASS,felickoi,"May 28, 2019",Nice ✨🙌🏽,Reply
CROWN OF GLASS,felickoi,"May 28, 2019",Lmao 😅,Reply
CROWN OF GLASS,felickoi,"May 28, 2019",Damn,Reply
CROWN OF GLASS,felickoi,"May 28, 2019",You’re so fricking sweet! <3 xx,1 Reply
CROWN OF GLASS,yoorner,"May 27, 2019",let's GO hcwkjncdcj i've been putting this off for way too long,2 Replies
CROWN OF GLASS,yoorner,"May 27, 2019",let them,Reply
CROWN OF GLASS,yoorner,"May 27, 2019",wlws assemble,Reply
CROWN OF GLASS,GloomySushiRoll,"May 20, 2019",Heck yeah burn me slowly,Reply
CROWN OF GLASS,GloomySushiRoll,"May 20, 2019",For some reason this makes me happy <3,Reply
CROWN OF GLASS,FireFairyPrincess05,"May 13, 2019",Why am I didn't start this book earlier?! ❤️🙄,Reply
CROWN OF GLASS,FireFairyPrincess05,"May 13, 2019",Beautiful starting..,Reply
CROWN OF GLASS,auraliqhts,"May 05, 2019",so i’m ready to rock n roll baby,1 Reply
CROWN OF GLASS,auraliqhts,"May 05, 2019",i live for slowburn,1 Reply
CROWN OF GLASS,satin_stars,"May 01, 2019",Yes gurl!,Reply
CROWN OF GLASS,satin_stars,"May 01, 2019",*prepares the ice cream* I have been warned.,Reply
CROWN OF GLASS,inkstainsmyhand,"Apr 17, 2019",YES,Reply
CROWN OF GLASS,inkstainsmyhand,"Apr 17, 2019",I already love this,Reply
CROWN OF GLASS,blckpnksh,"Apr 07, 2019",YESSSS QUEEN,Reply
CROWN OF GLASS,-,"Mar 21, 2019",GODDA— *weeps* THIS DESCRIPTION IS SO BEAUTIFUL,Reply
CROWN OF GLASS,-,"Mar 18, 2019",awww... you are so sweet. ღ,1 Reply
CROWN OF GLASS,-,"Mar 18, 2019",gorgeous ღ,Reply
CROWN OF GLASS,moradoclouds,"Mar 09, 2019",It isn't,Reply
CROWN OF GLASS,sushuuma,"Feb 24, 2019","this is a very powerful intro— dude, i'm. so. effing. ready.",1 Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",I don't what that means but it's beautiful,1 Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",We will all help,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Love that,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",TID is better in my opinion,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",But I guess I'll just deal with it ☹️😩,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Well shît,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Bring it on,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Lol,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Can't wait,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",I'm ready,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Yassss,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Most relateable thing thing I've ever come across,Reply
CROWN OF GLASS,_JustAnotherIdiot,"Feb 21, 2019",Honestly though,Reply
CROWN OF GLASS,ireneix,"Feb 06, 2019",RIP,1 Reply
CROWN OF GLASS,echoeshigh,"Jan 21, 2019",sweet ❤,Reply
CROWN OF GLASS,bitteur,"Jan 19, 2019",WOW,1 Reply
CROWN OF GLASS,bitteur,"Jan 19, 2019",wowowowow,Reply
CROWN OF GLASS,bitteur,"Jan 19, 2019",LOVE,Reply
CROWN OF GLASS,bitteur,"Jan 19, 2019",😍,Reply
CROWN OF GLASS,bitteur,"Jan 19, 2019",Facts,Reply
CROWN OF GLASS,maskedst,"Jan 19, 2019",ok so im guessing  eric drusilla thanatos edwina tristan,Reply
CROWN OF GLASS,HarmonyInDark7154,"Jan 13, 2019",Already in love with this book!!,1 Reply
CROWN OF GLASS,shamavad123,"Jan 11, 2019",Um... Yay...?,Reply
CROWN OF GLASS,shamavad123,"Jan 11, 2019",Yay!,Reply
CROWN OF GLASS,shamavad123,"Jan 11, 2019","Ya- wait, what?",Reply
CROWN OF GLASS,shamavad123,"Jan 11, 2019",Yay!,Reply
CROWN OF GLASS,shamavad123,"Jan 11, 2019",Yay!,Reply
CROWN OF GLASS,a_little_disguised,"Jan 07, 2019",This comment may be offensive. Holy fuck,Reply
CROWN OF GLASS,annacaatherine_,"Jan 01, 2019",you’re an amazing writer wow,Reply
CROWN OF GLASS,annacaatherine_,"Jan 01, 2019",I’m getting excited and it’s not even the first chapter yet wowowow,Reply
CROWN OF GLASS,annacaatherine_,"Jan 01, 2019",LOVE IT,Reply
CROWN OF GLASS,annacaatherine_,"Jan 01, 2019",my body is ready,Reply
CROWN OF GLASS,annacaatherine_,"Jan 01, 2019",relate,Reply
CROWN OF GLASS,annacaatherine_,"Jan 01, 2019",yes,Reply
CROWN OF GLASS,SudikshaMishra,"Dec 29, 2018",Always babe❤️,3 Replies
CROWN OF GLASS,OsamaBeenThottin,"Dec 29, 2018",YASSE FIRHEORJR,Reply
CROWN OF GLASS,OsamaBeenThottin,"Dec 29, 2018",Destroy me,1 Reply
CROWN OF GLASS,salihaz01,"Dec 18, 2018","I like your story so so so so so so so so so much much much much...I love that I learn a new word..Wow your story is so nice and perfecf,really really good congratulationshttps://t.co/3REM15vUDD",Reply
CROWN OF GLASS,-sunflowerperks,"Dec 17, 2018",Wtf this is amazing,1 Reply
CROWN OF GLASS,-sunflowerperks,"Dec 17, 2018",The Chronicles of Narnia is lowkey underrated,2 Replies
CROWN OF GLASS,itsseli,"Dec 07, 2018",Truth,Reply
CROWN OF GLASS,Yellowtowelz,"Dec 06, 2018",..sounds legit,Reply
CROWN OF GLASS,thesauceomellamacorn,"Dec 03, 2018",Sounds like my sort of thing,Reply
CROWN OF GLASS,lolingfordays,"Nov 30, 2018",I AM SO READY,Reply
CROWN OF GLASS,MahiraJane,"Nov 30, 2018",I'm going to change it into tea :)),1 Reply
CROWN OF GLASS,annitsmee,"Nov 29, 2018",This is what I have been waiting for 😎,1 Reply
CROWN OF GLASS,dIPLO_West,"Nov 28, 2018","How about sex, is dere any hot steamy sex, I hope some",2 Replies
CROWN OF GLASS,itsrennie,"Nov 25, 2018",i love you.,Reply
CROWN OF GLASS,itsrennie,"Nov 25, 2018",*sniffles* i actually cry every time sebastian is mentioned cuz the whole green eyes thing messed with my heart😭😭,Reply
CROWN OF GLASS,Michael-Sorbello,"Nov 19, 2018",Some situations can lead us to do some pretty terrible things :p,1 Reply
CROWN OF GLASS,fakejuliet,"Nov 18, 2018",Salute,Reply
CROWN OF GLASS,AudenNyxOctavious,"Nov 16, 2018",I welcome you with open arms to wreck me,1 Reply
CROWN OF GLASS,AudenNyxOctavious,"Nov 16, 2018",Oh. My. God. This is gorgeous 😍,Reply
CROWN OF GLASS,vintagemisery26,"Nov 13, 2018",MALECCCCCCCC ISSSSSSSS LIFEEEEEEEEEE,Reply
CROWN OF GLASS,ROSESCOMEDOWN,"Nov 12, 2018",ALREADY screeching,1 Reply
