Chapter Name,Author,Date,Text,Replies
ACT I | TROUVAILLE,wishuponabutterfly,"May 31, 2018",I can only imagine how lovely your pinterest board must be at the looks of these banners.,1 Reply
ACT I | TROUVAILLE,nipslipss,"Apr 04, 2018",Chilling so freaking good,Reply
ACT I | TROUVAILLE,ideoIogies,"Mar 09, 2018",this is written gold. literal gold.,1 Reply
ACT I | TROUVAILLE,-,"Jan 14, 2018",I have no idea where to start with this. I’ve read further and all I can say is that I can’t stop reading. To say the language is beautiful is the understatement of the year. I don’t think it’s confusing at all bc of the way you connect the powers to the gods to show personalities. ( eg drusilla of ice is obviously gonna butt heads with fiery edwina of fire),1 Reply
ACT I | TROUVAILLE,goldenskais,"Dec 23, 2017",This is so freaking cool,1 Reply
ACT I | TROUVAILLE,offtojupiter,"Nov 03, 2017",THIS BOOK IS AWESOME!!!,Reply
ACT I | TROUVAILLE,-,"Oct 31, 2017", #BGBC I have never seen anything written so elegantly and perfectly! It's like I'm watching a movie instead of reading and thats the cool part! Awesome job!,1 Reply
ACT I | TROUVAILLE,reverielles,"Oct 30, 2017",I. LOVE. THIS.,1 Reply
ACT I | TROUVAILLE,romanticismskiss,"Oct 20, 2017",OMG the freaking first line snatched my edges,1 Reply
ACT I | TROUVAILLE,romanticismskiss,"Oct 20, 2017",😍😍😍,Reply
ACT I | TROUVAILLE,romanticismskiss,"Oct 20, 2017",These aesthetics tho😍😍,1 Reply
ACT I | TROUVAILLE,In-ter-lude,"Oct 12, 2017",I’m shook. Like to the damn core,1 Reply
ACT I | TROUVAILLE,In-ter-lude,"Oct 12, 2017",🖤,Reply
ACT I | TROUVAILLE,gcgonzalez,"Oct 08, 2017",Oohh...,Reply
ACT I | TROUVAILLE,Mardais,"Sep 17, 2017",This...I haven't words... ♥,1 Reply
ACT I | TROUVAILLE,brendasime,"Sep 16, 2017",This is so good.,1 Reply
ACT I | TROUVAILLE,gulabjamuns,"Sep 11, 2017",This story has me hooked,1 Reply
ACT I | TROUVAILLE,skandalus,"Aug 31, 2017",Your writing is magic,1 Reply
ACT I | TROUVAILLE,-,"Aug 31, 2017",This is so beautiful!,1 Reply
ACT I | TROUVAILLE,TheDreamChronicles,"Aug 21, 2017",Coffee fuels us all. ☕️,3 Replies
ACT I | TROUVAILLE,hilmbaeed,"Aug 09, 2017",😂😂,Reply
ACT I | TROUVAILLE,MadhavaPriyaa,"Aug 01, 2017",I agree :),Reply
ACT I | TROUVAILLE,JasmanianDevil27,"Jul 29, 2017",😂😂😂 that's hilarious!,Reply
ACT I | TROUVAILLE,christinewonn,"Jul 29, 2017", #beleiverbc  Very important. Pinterest actually helps a lot to my productivity and creativeness 😂🙌,Reply
ACT I | TROUVAILLE,J3ennife4,"Jul 28, 2017",😂😂😂,Reply
ACT I | TROUVAILLE,Jenjibread,"Jul 25, 2017",T^T,2 Replies
ACT I | TROUVAILLE,ithinkofrauhl,"Jul 22, 2017",😂,Reply
ACT I | TROUVAILLE,breakingbones98,"Jul 22, 2017", #mood,Reply
ACT I | TROUVAILLE,MissSpel,"Jul 22, 2017",pinterest ... tru,Reply
ACT I | TROUVAILLE,Chocolate370,"Jul 17, 2017",Wow that was beautiful👌😻😂,1 Reply
ACT I | TROUVAILLE,rubyruins,"Jul 11, 2017",Lol 😂 don't we all,Reply
ACT I | TROUVAILLE,castiehl,"Jul 10, 2017",wow same,Reply
