Chapter Name,Author,Date,Text,Replies
ACT 0 | ORPHIC,jacksangel,Mar 12,...I am confusion I think somethings missing,Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",tsk tsk,Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",oh my,Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",this is such a smooth way of world building especially when it's your own with elements of others,1 Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",i love the way this is worded simply perfect,Reply
ACT 0 | ORPHIC,felickoi,"May 28, 2019",Oh damn,Reply
ACT 0 | ORPHIC,felickoi,"May 28, 2019",Mmmm yes,Reply
ACT 0 | ORPHIC,felickoi,"May 28, 2019",Uhh 😶,Reply
ACT 0 | ORPHIC,yoorner,"May 27, 2019",hhhhhhhhhhhhhhhhhhhhhhh i'm PUMPED,Reply
ACT 0 | ORPHIC,yoorner,"May 27, 2019","o, so you mean keeping up with the olympians?",3 Replies
ACT 0 | ORPHIC,scrxtch,"May 23, 2019","well, here’s to the future where i’ll repeatedly refer back to this chapter because holy cow information processing for my brain is fried ಥ‿ಥ",Reply
ACT 0 | ORPHIC,GloomySushiRoll,"May 23, 2019",Thats one way of solving the problem,Reply
ACT 0 | ORPHIC,Damaged88,"May 23, 2019",❤❤,Reply
ACT 0 | ORPHIC,v_reena,"May 18, 2019",lmao this is so accurate,1 Reply
ACT 0 | ORPHIC,Tabbyts,"May 05, 2019",I love that last line,1 Reply
ACT 0 | ORPHIC,Tabbyts,"May 05, 2019","Damn, that comeback is resounding",1 Reply
ACT 0 | ORPHIC,Tabbyts,"May 05, 2019",True,Reply
ACT 0 | ORPHIC,Tabbyts,"May 05, 2019",Smart one I see,Reply
ACT 0 | ORPHIC,nongraduate,"Apr 30, 2019",wow.,Reply
ACT 0 | ORPHIC,She_Devil666,"Apr 17, 2019",I’ve been saying this for years.,Reply
ACT 0 | ORPHIC,inkstainsmyhand,"Apr 17, 2019",Lovely,1 Reply
ACT 0 | ORPHIC,inkstainsmyhand,"Apr 17, 2019",❤,Reply
ACT 0 | ORPHIC,inkstainsmyhand,"Apr 17, 2019",I love this already,Reply
ACT 0 | ORPHIC,-,"Apr 16, 2019",whose castle has fallen to the sea,1 Reply
ACT 0 | ORPHIC,raceii,"Mar 25, 2019",I’m rereading this and CHOKING,1 Reply
ACT 0 | ORPHIC,Queenlikescoffee,"Mar 20, 2019",Reading it again and it kind of makes sense,2 Replies
ACT 0 | ORPHIC,grabthemonets,"Mar 18, 2019",what do you look up to find such gorgeous images?,2 Replies
ACT 0 | ORPHIC,dumplingtree,"Mar 17, 2019",No one can take Uranus’s toilet,1 Reply
ACT 0 | ORPHIC,blackthorns-,"Mar 17, 2019",Uranus I can’t,Reply
ACT 0 | ORPHIC,blackthorns-,"Mar 17, 2019",I didn’t,Reply
ACT 0 | ORPHIC,moradoclouds,"Mar 09, 2019",Actually couldn't be anything more fitting for him to say,Reply
ACT 0 | ORPHIC,riyamcyriac,"Mar 04, 2019",😭,Reply
ACT 0 | ORPHIC,azureDK,"Feb 14, 2019",SHIVERS DOWN MY SPINE THIS IS AMAZINY,1 Reply
ACT 0 | ORPHIC,amarvelsociety,"Feb 03, 2019",You have come up with such an amazing and interesting concept and the background of it all. How are you not a published writer?,1 Reply
ACT 0 | ORPHIC,amarvelsociety,"Feb 03, 2019",Wow. This is so true. I cannot even-,Reply
ACT 0 | ORPHIC,amarvelsociety,"Feb 03, 2019",I cannot explain how much I am in love with this line...,Reply
ACT 0 | ORPHIC,Kumqhuat,"Jan 24, 2019",Oh fúcK I felt this whew-,Reply
ACT 0 | ORPHIC,Kumqhuat,"Jan 24, 2019",Oh this is messy,Reply
ACT 0 | ORPHIC,Kumqhuat,"Jan 24, 2019",Period.,Reply
ACT 0 | ORPHIC,cherdaphnia,"Jan 23, 2019",woah,Reply
ACT 0 | ORPHIC,echoeshigh,"Jan 21, 2019",i feel bad for saying this but URANUS BAHAHAHAHAHAHAHAHAHA,Reply
ACT 0 | ORPHIC,Gsuperb1313,"Jan 18, 2019","This introduction has filled our needs for answers, it's left us yearning for more, you my dear, have cracked the code to keeping readers.",Reply
ACT 0 | ORPHIC,huangrenjyn,"Jan 10, 2019",THRONE OF GLASS!!,4 Replies
ACT 0 | ORPHIC,annacaatherine_,"Jan 01, 2019",this is so smart!!,Reply
ACT 0 | ORPHIC,annacaatherine_,"Jan 01, 2019",honestly love queens,1 Reply
ACT 0 | ORPHIC,GimmeTheMoon_,"Dec 22, 2018",Just flush,Reply
ACT 0 | ORPHIC,vividlycrimson18,"Dec 18, 2018",I love how you’ve introduced the setting like this💕,Reply
ACT 0 | ORPHIC,TheBatmanWhoLaughs,"Dec 12, 2018",This is something John Constantine would do,Reply
ACT 0 | ORPHIC,nina_teretsus,"Dec 08, 2018",!!!,Reply
ACT 0 | ORPHIC,nina_teretsus,"Dec 08, 2018",lol I got so focuses on what was happening I forgot these are lines of dialogue,2 Replies
ACT 0 | ORPHIC,Yellowtowelz,"Dec 06, 2018",I am READY I DONT EVEN CARE THAT IM GONNA REGRET THIS TOMORROW MORNING,1 Reply
ACT 0 | ORPHIC,Yellowtowelz,"Dec 06, 2018",roll the credits,Reply
ACT 0 | ORPHIC,Yellowtowelz,"Dec 06, 2018","wut why does the story not have more reads, it gives me chills and hasn’t even started yet",Reply
ACT 0 | ORPHIC,MahiraJane,"Dec 02, 2018",Woaw 💫,Reply
ACT 0 | ORPHIC,MahiraJane,"Dec 02, 2018","*chokes on tea * woaw, author, you've got one heck of a talent for writing. I really hope that this book will get published, I would buy it :))",1 Reply
ACT 0 | ORPHIC,MahiraJane,"Dec 02, 2018","Oml guys, six (first children) gods, six planets, six houses! Is 6 a magical number in this book or does it have something to do with the gods, each planet and House for one. But what about the two first children, they made a House together so their only would be 5 five Houses instead of six. Hmm this is very interesting.. Interesting indeed.",Reply
ACT 0 | ORPHIC,MahiraJane,"Dec 02, 2018","Wait is this Greek Mythology, because I don't remember this *laughs nervously while drinking tea and ponders if she really knows her Greek Mythology that well*",Reply
ACT 0 | ORPHIC,MahiraJane,"Dec 02, 2018","Why is no one commenting on this? This is so powerful, like people this is Love, look at this. He eased her pain, took a bit of the broken part of her heart",1 Reply
ACT 0 | ORPHIC,MahiraJane,"Dec 02, 2018","This is amazing, it's just wow. I'm mind blown and I love the way that you interact with your readers. Not a lot of writers do that",Reply
ACT 0 | ORPHIC,RiverTine,"Nov 30, 2018",Omg,Reply
ACT 0 | ORPHIC,RiverTine,"Nov 30, 2018",Yaaaas,Reply
ACT 0 | ORPHIC,kazrietvcld,"Nov 30, 2018",haha ur anus,1 Reply
ACT 0 | ORPHIC,itsrennie,"Nov 25, 2018",*cries gold*,Reply
ACT 0 | ORPHIC,vagaries,"Nov 22, 2018",this line omg,1 Reply
ACT 0 | ORPHIC,Michael-Sorbello,"Nov 21, 2018",Sounds like the side effects of drugs,1 Reply
ACT 0 | ORPHIC,fakejuliet,"Nov 18, 2018",This is going to be epic,Reply
ACT 0 | ORPHIC,GhostWriterGirl-1,"Nov 18, 2018","Well, dang. Those two need SERIOUS couple’s counselling",1 Reply
ACT 0 | ORPHIC,GhostWriterGirl-1,"Nov 18, 2018",Reminds me of when Gaia asked her children to kill Ouranus in Greek mythology,2 Replies
ACT 0 | ORPHIC,Jells_,"Nov 17, 2018","woah, that's clever",Reply
ACT 0 | ORPHIC,Jells_,"Nov 17, 2018",i love this book already,Reply
ACT 0 | ORPHIC,Jells_,"Nov 17, 2018",why is this so beautiful?,1 Reply
ACT 0 | ORPHIC,AudenNyxOctavious,"Nov 16, 2018","Damn, this is deep and so intriguing. The way the history is explained doesn’t bore the reader",1 Reply
ACT 0 | ORPHIC,iloojin,"Nov 09, 2018",I wasn't expecting that. What the child say is the truth.,Reply
ACT 0 | ORPHIC,iloojin,"Nov 09, 2018",So many names to remember,Reply
ACT 0 | ORPHIC,iloojin,"Nov 09, 2018",The fact that the event is explained by a dialogue make it easier to remember.,1 Reply
ACT 0 | ORPHIC,iloojin,"Nov 09, 2018",You seems to really like story around King and Queen (Referring to your other story),Reply
ACT 0 | ORPHIC,ProjectPr1de,"Oct 30, 2018","So, this is basically Greek/Roman Mythology with different names?",2 Replies
ACT 0 | ORPHIC,RAINEyowww,"Oct 17, 2018",I LOVE HER NAME!! OMGGG!,Reply
ACT 0 | ORPHIC,RAINEyowww,"Oct 17, 2018","yeah, a hundred percent true!",Reply
ACT 0 | ORPHIC,RAINEyowww,"Oct 17, 2018","I think this is kinda hard for her, poor queen.",Reply
ACT 0 | ORPHIC,Armyizlife,"Oct 14, 2018",Is this kinda based on greek myth? Sorry if I’m wrong.,3 Replies
ACT 0 | ORPHIC,gracce-,"Oct 09, 2018",I CAME BACK FOR A SECOND LOOK AND OHHHHHHH,3 Replies
ACT 0 | ORPHIC,Bubbles_452,"Oct 07, 2018",Beowulf!!!!,Reply
ACT 0 | ORPHIC,Noodlehead_,"Oct 07, 2018",Wait  So im this world do Zodiacs exist?  And if they do how would they be different or the same as ours?,2 Replies
ACT 0 | ORPHIC,Babybullshit_,"Oct 06, 2018",This got me so hyped I'm sooooo ready 🖤,1 Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",One of the best things I've ever read 😍,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",Woah!!,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",Blown,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",Nice name,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",Beautiful name,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",Perfect,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",How do you even think about such things? It amazes me,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",I AM IN LOVE,Reply
ACT 0 | ORPHIC,VolcanicDaisy,"Sep 27, 2018",Awesome,Reply
ACT 0 | ORPHIC,maskedst,"Sep 24, 2018",Hi um just want to say that I think miriel is related to the logogram bs that's going on and the titans because she appeared on both earth and endollon,Reply
ACT 0 | ORPHIC,-honeydust,"Sep 20, 2018","I love this start. It’s intriguing and interesting, and definitely unique. I’m in love with your flowery sentences, and the metaphors are just perfect!! ❤️❤️",Reply
ACT 0 | ORPHIC,_loverose,"Sep 20, 2018","I'm in love with this but I do think that the sentence ""Yet she cursed everything she touched, losing it all."" could be phrased better to make it sound more powerful. Perhaps change the ""losing it all"" to ""losing all of it""?",Reply
ACT 0 | ORPHIC,_flameele,"Sep 14, 2018",I’M SO EXCITED!!! THIS IS SO GOOD!!! AHHHHH,Reply
ACT 0 | ORPHIC,-,"Sep 13, 2018",Geez I love when I figure out why titles are kept so in the story it just makes me fuzzy,Reply
ACT 0 | ORPHIC,-,"Sep 13, 2018",This is such a great way of giving the background! Your words flow beautifully and I can’t wait to read ahead!,Reply
ACT 0 | ORPHIC,hazelwrites13,"Sep 09, 2018",eyy waddup title reference,2 Replies
ACT 0 | ORPHIC,hazelwrites13,"Sep 09, 2018","oops, i couldn't help but laugh at this",1 Reply
ACT 0 | ORPHIC,kylalynnwrites,"Sep 07, 2018","I'm dead @$$ moved by the authors words. It's beautiful and destructive, pulling at your heart strings and then letting you fall to your knees....its brilliant",Reply
ACT 0 | ORPHIC,kylalynnwrites,"Sep 07, 2018",I'm in love with the names they are so unique...where did you even come up with these❤,1 Reply
ACT 0 | ORPHIC,kylalynnwrites,"Sep 07, 2018",What's Uranus favorite video game?               Call of duty xD,1 Reply
ACT 0 | ORPHIC,kylalynnwrites,"Sep 07, 2018",Bro right off the bat it's depressing....and I love it lol,1 Reply
ACT 0 | ORPHIC,Queenlikescoffee,"Sep 06, 2018","Damn, I'm loving all the these kind of books, u can literally imagine it by the WY you've written it",1 Reply
ACT 0 | ORPHIC,Queenlikescoffee,"Sep 06, 2018",Well said👏👏,Reply
ACT 0 | ORPHIC,antisocially,"Sep 06, 2018",IM ALREADY SO HYPED FOR THIS BOOK OMG,1 Reply
ACT 0 | ORPHIC,antisocially,"Sep 06, 2018",I love this,Reply
ACT 0 | ORPHIC,chaotichearts-,"Sep 04, 2018",💟,Reply
ACT 0 | ORPHIC,moonbrries,"Sep 04, 2018",I NEED A COPY ON MY BOOKSHELF,2 Replies
ACT 0 | ORPHIC,moonbrries,"Sep 04, 2018","oh my god, so it starts",1 Reply
ACT 0 | ORPHIC,moonbrries,"Sep 04, 2018",OH DEAR,Reply
ACT 0 | ORPHIC,moonbrries,"Sep 04, 2018",AHHH THIS NAMR,1 Reply
ACT 0 | ORPHIC,readerslova,"Sep 03, 2018",Where is the lie 👏🏿👏🏿,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",I WANT TO BUY THIS BOOK RN,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",😏,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",NOW IM REALLY S H O O K,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",S H O O K,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018","Is there gonna be anyone named Epithemeus, from the Titans?",2 Replies
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",16 YEARS ?! 😱,2 Replies
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",Lmao why does everyone have 6 babies?!,3 Replies
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",Props to you Aurea 👏🏻,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",Oh.,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",This reminds me of some Greek god named Zeus 🤔,2 Replies
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",I TOTALLY knew that... *nervous laughter* *elbowing the internet: help me out would ya’*,2 Replies
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",That’s such a cute name!,Reply
ACT 0 | ORPHIC,inkflows,"Sep 02, 2018",SHIP!,Reply
ACT 0 | ORPHIC,primmee,"Sep 01, 2018",This is such an awesome line!,Reply
ACT 0 | ORPHIC,stellardrone,"Aug 30, 2018","Ohhh!  I love this part so much!  I'm jealous, really. Why is yóúr story so perfect.  I love the idea you made an such of interview.  I love the fact you tell'd as the history of your world with this...",1 Reply
ACT 0 | ORPHIC,stellardrone,"Aug 30, 2018",BOOOOOOOOOOOOOOOOOM. So true.,Reply
ACT 0 | ORPHIC,stellardrone,"Aug 30, 2018","Oh, I totally love queens.  Even when they're evil. Do you know the Lunar Chronicles? My fav person is Lunar Queen Levana,  and she is the vilain of the story. But!!!! she has a veeerrry saaaad backstory.   Seems this will be a good story.",4 Replies
ACT 0 | ORPHIC,stellardrone,"Aug 30, 2018",Wow.,Reply
ACT 0 | ORPHIC,maafbrah,"Aug 28, 2018",el this is so intruiging. i never read this genre but i love the creativity and structure of this book. every line is quotable and im so sorry for not checking it sooner.  miss you x,Reply
ACT 0 | ORPHIC,maafbrah,"Aug 28, 2018",othello vibes,Reply
ACT 0 | ORPHIC,-,"Aug 27, 2018","Wow! How...  YOu created a world, based on Greek Mythology, but you made it totally your own. I got so much inspiration by reading this. Thank you. You may be a god. But then not one like in you books.",2 Replies
ACT 0 | ORPHIC,e-bae-free-shipping,"Aug 24, 2018",Love it so far! The repetition adds suspense and I am hooked!,1 Reply
ACT 0 | ORPHIC,Playedbythegame,"Aug 24, 2018",shook,Reply
ACT 0 | ORPHIC,Elene2605,"Aug 18, 2018",I am so loveing rhis book already!,Reply
ACT 0 | ORPHIC,Jamie-Michelle,"Aug 16, 2018","Hiya!  I'm a big reader of high fantasy and some of the inspirations you listed for this story are some of my favorite books so I thought to check this out! Being honest, I really like the lore you've established here (just ask my friends, I'm a sucker for mythology!) And from reading this, it really shows that you've put alot into this world and how all these gods, goddesses and Houses fit into it all. You also really used text alignment to your advantage and I think it really fit the tone you were trying to convey. However, I have to say while the writing itself was fine, the overall feel of this opening felt...clunky.   ""This is the story Queen who no longer feared death..of a King who helped her laugh again...."" (I'm paraphrasing here, please bear with me.)  It's alot of telling versus showing and then you have a huge shift in tone. Almost like you went from pitching the story to the readers to going to some scene where X character is hearing stories around a campfire. It's a pretty sharp contrast and it doesn't go very well together in my opinion. I think you'd really benefit from getting rid of ""This is the story of a queen"" bit and just leaving this prologue as the conversation between the unknown characters about the world and the gods and goddesses who inhabit it.  So overall, I'm not super sold on this prolouge as it is, but your lore is so detailed that I think I'm going to move on and see what happens next.   Write on! :)",1 Reply
ACT 0 | ORPHIC,midastouch-,"Aug 13, 2018","Oh, okay. So she's gonna live (I may or may not have accidentally spoiled myself by accidentally clicking on the most recently updated chapter.)",1 Reply
ACT 0 | ORPHIC,midastouch-,"Aug 13, 2018","This comment may be offensive. This better not turn into some Romeo and Juliet shit. Or worse, The Titanic 😭",1 Reply
ACT 0 | ORPHIC,midastouch-,"Aug 13, 2018","I love this so much. This is such a clever way to establish and explain a backstory, I'm shook.",Reply
ACT 0 | ORPHIC,mxma_mimi,"Aug 11, 2018","You are such a good writer. If you were to publish this, no questions asked, I would buy it.",Reply
ACT 0 | ORPHIC,mxma_mimi,"Aug 11, 2018",Titania! She's a witch (not a literal witch) according to the Iron Fey Series,Reply
ACT 0 | ORPHIC,mxma_mimi,"Aug 11, 2018",Pfft I knew that… *quickly looks it up on Wikipedia*,Reply
ACT 0 | ORPHIC,mxma_mimi,"Aug 11, 2018",I feel like something is going to happen to one of them,Reply
